Site Code,Location*,01-01-2023,01-02-2023,01-03-2023,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023
A305,Bloor St. W. Westbound West of Clinton St.,0,110,62,91,80,55,43,48,0,0,198
A306,Davisville Ave. Westbound East of Yonge St.,0,14,155,321,280,229,373,220,328,194,191
A307,Logan Ave. Northbound Near Wolfrey Ave.,0,78,817,314,621,505,818,708,866,280,692
A308,Harrison Rd. Northbound Near Vernham Ave.,0,9,36,52,44,46,52,50,45,11,7
A309,Sloane Ave. Southbound Near Draycott Dr.,0,72,204,54,129,94,177,162,243,51,125
A310,Freshmeadow Dr. Westbound West of Applegate Cres.,0,41,170,70,136,70,118,112,100,63,77
A311,Senlac Rd. Northbound North of Elynhill Dr.,0,20,88,72,82,52,66,49,26,0,4
A312,Danforth Rd. Eastbound East of Huntington Ave.,0,55,312,272,325,219,535,540,489,309,333
A313,Lawrence Ave. E. Eastbound Near Canlish Rd.,0,16,1385,1163,1103,1088,1452,1437,1587,1668,2049
A314,Birchmount Rd. Northbound North of Bay Mills Blvd.,0,82,594,636,910,441,1636,1340,907,749,1013
A315,Tapscott Rd. Westbound West of Blackwell Ave.,0,0,639,558,569,290,439,418,414,383,257
A316,Orton Park Rd. Southbound South of Ellesmere Rd.,0,10,339,189,177,252,326,343,237,245,319
A317,Lawrence Ave. E. Westbound West of Port Union Rd.,0,4,393,275,339,127,266,465,293,365,329
A318,Kipling Ave. Southbound North of Coolhurst Dr.,0,0,0,0,0,0,1568,1292,1427,866,1060
A319,Mount Olive Dr. Southbound North of Dorward Dr.,0,0,0,0,0,0,202,249,172,140,136
A320,Kipling Ave. Northbound Near Gracey Blvd.,0,0,0,0,0,0,146,258,204,292,217
A321,La Rose Ave. Eastbound East of Timothy Court,0,0,0,0,0,0,210,474,440,901,947
A322,Twenty First St. Northbound North of Lake Shore Blvd. W.,0,0,0,0,0,0,179,339,234,277,210
A323,Lake Shore Blvd. W. Westbound West of Thirty Fifth St.,0,0,0,0,0,0,150,301,407,821,644
A324,Indian Road Cres. Northbound North of Humberside Ave.,0,0,0,0,0,0,318,682,508,371,333
A325,McCormack St. Westbound Near Leigh St.,0,0,0,0,0,0,301,331,384,453,214
A326,Maple Leaf Dr. Eastbound Near Bourdon Ave.,0,0,0,0,0,0,356,489,542,1007,944
A327,Sheppard Ave. W. Westbound Near Blairville Rd.,0,0,0,0,0,0,62,527,377,268,205
A328,Highview Ave. Southbound North of Maurice Coulter Mews,0,0,0,0,0,0,589,236,437,197,194
A329,Jane St. Northbound North of Driftwood Ave.,0,0,0,0,0,0,1279,2267,1617,796,913
A330,Norfinch Dr. Northbound North of Finch Ave. W.,0,0,0,0,0,0,733,1208,833,580,709
A331,Lawrence Ave. W. Westbound West of Varna Dr.,0,0,0,0,0,0,1468,1979,1622,858,903
A332,Dufferin St. Northbound North of Preston Rd.,0,0,0,0,0,0,0,145,79,21,48
